,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
8587,1,,2.0768565991260286,-0.5490005020320656,-0.4920141482497451,-0.3693329718647712,-0.022470263508740755,-0.35081657087177986,-0.158005605952082,-0.5143711321818135,-0.2850538238910866,-0.028722204980074068,0.1513645596103421,-0.045420893896443174,-0.3219487235515872,-0.36665193777782323,-1.0941356151838002,-3.9348675701746214,1.0100274561603064,0.3361623722844941,0.19913026183404392,-0.6175985259832032
8588,0,0.6399062926371003,-0.48149689315132027,-0.5490005020320656,-0.4920141482497451,-0.3693329718647712,-0.054874814735704,-0.475039190724165,-0.18368759694532286,-0.6522123173256663,-0.28780192208506455,-0.0330861766221807,0.3931009628585727,-0.04259111267951979,-0.3149114556577379,-0.36665193777782323,0.6578402194824735,0.4111197341907402,-0.1262820759691445,0.9255684875062138,-0.8688597113174874,0.6932372413964257
8589,1,-1.0082418204192105,-0.48149689315132027,1.8214919591122574,-0.4920141482497451,-0.3693329718647712,-0.05535139723290916,-0.5052293793504663,0.05969406188597163,0.2629480713054149,1.2306560870795045,-0.015477567293382627,0.6500188793542767,-0.037883207006897214,0.7764933953794136,-0.36665193777782323,0.8234998256257029,0.33714548220154256,-0.1169787660967833,1.5358099992796996,-0.8652116131458568,0.45070375139667024
8590,1,-1.0082418204192105,2.0768565991260286,-0.5490005020320656,-0.4920141482497451,2.707583877364037,-0.05592816741301354,-0.5092077254294738,-0.02511623395217271,-0.5602666837375583,-0.2889814155577011,-0.033128419087815386,1.8353447213685474,0.025472258302024844,-0.3129008076880667,1.1381555254617024,1.4497433367277592,-0.4534543359330084,-0.002727592225680797,0.011215365525339839,-0.8381584256692464,-1.3408680408039024
8591,1,-1.0082418204192105,-0.48149689315132027,1.8214919591122574,-0.4920141482497451,-0.3693329718647712,-0.04448811690446443,-0.3385024007045538,-0.03676271823980522,0.06108027378414911,1.8264826866587982,-0.011321558559016003,-0.18262873183407313,-0.04754839639452256,9.080972172113913,-0.36665193777782323,0.665370201579893,-0.38179177931847386,-0.03602364861097352,0.09504998548420615,-0.8283332478196263,-0.044468790686163405
8592,0,0.7783004090006073,-0.48149689315132027,-0.5490005020320656,-0.4920141482497451,-0.3693329718647712,-0.050701111512707155,-0.45297453664695725,-0.08752944462179302,-0.3394426326494804,-0.2880572763420271,-0.03314141676954913,-0.25853629807144024,-0.047827737491365076,-0.3142831281672157,-0.36665193777782323,0.15458641597160266,0.5313278936731854,-0.13917613702031179,-0.24024863204793487,-0.7836410599803919,0.5539248498191857
8593,0,0.9775040613420188,-0.48149689315132027,-0.5490005020320656,-0.4920141482497451,-0.3693329718647712,0.1808614011444117,1.9384974879245485,-0.01854642230273899,0.2806881700212381,-0.28392296932453814,-0.032917206759641944,-1.0129407255997347,-0.048651941343775824,-0.3142831281672157,-0.36665193777782323,-0.4277321995621731,0.7278220005194915,-0.16545390701066537,1.7382244815993682,0.7024189642255944,0.266638156307571
8594,1,-1.0082418204192105,2.0768565991260286,-0.5490005020320656,-0.4920141482497451,-0.3693329718647712,-0.05608056796900545,-0.49974268631566304,0.14360847431737497,-0.27715139752449486,0.02927510670329592,-0.003795900835174644,2.1670023953902744,0.06282890060369614,0.2845129703004904,-0.36665193777782323,1.0343393243534493,-0.8048320328816964,0.031384543972976964,1.437446618760878,0.7709255659267844,-0.6327568691081885
8595,1,-1.0082418204192105,2.0768565991260286,-0.5490005020320656,-0.4920141482497451,-0.3693329718647712,-0.049979593442336545,-0.42175776213521,0.14121945189939908,8.593191568292676,-0.28377705260627384,-0.02402029361288994,-0.05300196487487701,-0.04691973759146435,-0.18849196456466086,-0.36665193777782323,1.0493992885482883,0.16608002447652132,-0.09298601958385178,1.1462357087243167,0.8032913640543382,-1.6064999584226822
8596,1,-1.0082418204192105,-0.48149689315132027,1.8214919591122574,-0.4920141482497451,-0.3693329718647712,-0.05111582975494972,-0.4194738474402236,-0.11500320242851583,-0.21366718712001329,1.5711284296962438,-0.022265606578833665,-0.25036163709203146,-0.04779991016824809,1.983007842680242,-0.36665193777782323,-0.08888300517829496,0.41343142956540135,-0.14064508068436882,0.6792844913513705,0.8636464643678423,0.6593114258309846
